STATUS	DATA SOLICITAÇÃO	PAÍS DE ORIGEM	GÊNERO	ANO DE NASCIMENTO	CIDADE SOLICITAÇÃO	DATA DA  DECISÃO
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO)	2016	CUBA	M	1984	BOA VISTA	25/01/2019
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO)	2016	VENEZUELA	M	1993	MANAUS	25/01/2019
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO)	2017	NIGÉRIA	M	1983	BRASÍLIA	25/01/2019
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO)	2016	EQUADOR	F	1983	NATAL	25/01/2019
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO)	2014	HAITI	M	1968	BRASILÉIA	25/01/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	M	1967	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	1969	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	1997	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	1999	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	2001	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	2002	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	2003	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	M	2005	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	2008	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	REP.DEM DO CONGO	M	1992	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2018	REP.DEM DO CONGO	M	1985	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	1986	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	2007	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	2010	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	2012	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	2014	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	M	1984	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	M	1972	NITERÓI	29/03/2019
ELEGIBILIDADE - DEFERIDO	2015	REP.DEM DO CONGO	F	1983	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	F	1982	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2017	REP.DEM DO CONGO	M	1975	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	F	1984	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	F	2012	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	F	2007	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	F	2010	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	F	2005	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2014	REP.DEM DO CONGO	F	1990	SÃO PAULO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	M	1975	RIO DE JANEIRO	29/03/2019
ELEGIBILIDADE - DEFERIDO	2016	REP.DEM DO CONGO	M	1995	SÃO PAULO	29/03/2019
